ID Afiliado;Nombre Afiliado;Edad;Ingresos;Antigüedad como afiliado (años);NIT Empresa empleadora;Nombre Empresa empleadora;Categoría;Departamento;Ciudad;Dirección de residencia;Número de hijos;Con quien vive;Tipo de vivienda;Tipo de suelo;Estado civil;Género;Tiene Mascotas
AF-000030;Alejandra Molina Sánchez;26;$2.034.000;0;952582906-8;Demo Construcciones Nova SAS;A;Guaviare;San José del Guaviare;Diagonal 39 #96-94, Barrio El Prado;2;Hijos;Propia;Urbano;Soltero;Mujer;No
AF-000031;Luis Héctor Rojas Pérez;40;$4.564.000;7;814185903-2;Demo Soluciones Verdes S.A.S.;B;Guainía;Inírida;Diagonal 77 #51-19, Barrio Santa Ana;2;"Pareja; Hijos";Arriendo;Urbano;Unión Libre;Hombre;No
AF-000032;Yolanda León Navarro;49;$5.177.000;1;977165882-2;Demo Ingeniería Integral S.A.S.;B;Vaupés;Mitú;Transversal 94 #23-66, Apto 789, Barrio La Victoria;2;Pareja;Propia;Urbano;Unión Libre;Mujer;Sí
AF-000033;Liliana González Romero;32;$2.567.000;10;890849770-7;Demo Tecnología Prisma S.A.;A;Vichada;Puerto Carreño;Diagonal 175 #76-50, Barrio La Floresta;0;"Padres; Pareja";Familiar;Urbano;Casado;Mujer;Sí
AF-000034;Catalina Johanna Suárez Muñoz;48;$2.408.000;2;865686587-3;Demo Agroindustria del Valle SAS;A;Tolima;Ibagué;Carrera 39 #84-44, Apto 1008, Barrio El Prado;0;Pareja;Familiar;Urbano;Casado;Mujer;Sí
AF-000035;Karen Castro Castaño;37;$2.552.000;0;940045828-5;Demo Soluciones Verdes S.A.S.;A;Caldas;La Dorada;Transversal 40 #52-97, Barrio Las Palmas;1;"Abuelos; Hijos";Arriendo;Urbano;Separado;Mujer;Sí
AF-000036;Andrés Ruiz Vargas;21;$4.450.000;3;907599250-6;Demo Servicios Horizonte S.A.S.;B;Bogotá D.C.;Bogotá D.C.;Diagonal 126 #44-56, Barrio La Arboleda;0;Padres;Propia;Urbano;Soltero;Hombre;Sí
AF-000037;Álvaro Pardo Restrepo;40;$11.991.000;4;947019021-4;Demo Logística Andina SAS;C;Santander;Bucaramanga;Avenida 99 #52-51, Barrio Nueva Colombia;2;"Pareja; Hijos";Propia;Urbano;Casado;Hombre;No
AF-000038;Lorena Isabella Castro Molina;31;$8.757.000;4;901849434-6;Demo Servicios Financieros Demo S.A.S.;C;Tolima;Ibagué;Transversal 77 #14-69, Apto 404, Barrio Los Pinos;1;Hijos;Arriendo;Urbano;Separado;Mujer;Sí
AF-000039;Valentina Suárez Álvarez;56;$2.475.000;8;970433668-7;Demo Textiles Cordillera Ltda.;A;Bogotá D.C.;Bogotá D.C.;Diagonal 21 #49-52, Barrio San Martín;Más de 4;Pareja;Propia;Urbano;Separado;Mujer;No
AF-000040;Samuel Moreno Parra;41;$2.854.000;1;818143241-1;Demo Tecnología Prisma S.A.;A;Cauca;Santander de Quilichao;Transversal 97 #38-82, Barrio El Bosque;2;"Padres; Hijos";Arriendo;Urbano;Soltero;Hombre;Sí
AF-000041;Yolanda Rojas Navarro;36;$2.945.000;2;965918220-6;Demo Textiles Cordillera Ltda.;A;Valle del Cauca;Cali;Calle 66 #8-89, Barrio Nueva Colombia;3;"Pareja; Hijos";Arriendo;Urbano;Casado;Mujer;Sí
AF-000042;Luisa Díaz Medina;48;$2.199.000;8;947019021-4;Demo Logística Andina SAS;A;Bogotá D.C.;Bogotá D.C.;Avenida 42 #19-54, Barrio La Castellana;1;"Pareja; Hijos";Familiar;Urbano;Casado;Mujer;Sí
AF-000043;Paula Rojas Mendoza;30;$2.611.000;12;818143241-1;Demo Tecnología Prisma S.A.;A;Bolívar;Cartagena;Carrera 162 #30-57, Apto 1631, Barrio Villa Nueva;1;"Pareja; Hijos";Arriendo;Urbano;Casado;Mujer;No
AF-000044;Natalia Andrea Muñoz Molina;45;$3.216.000;0;924415025-8;Demo Operaciones Mineras Demo Ltda.;A;Bogotá D.C.;Bogotá D.C.;Transversal 27 #27-76, Barrio Los Alpes;1;Hijos;Propia;Urbano;Soltero;Mujer;Sí
AF-000045;Martha Álvarez Muñoz;40;$3.720.000;22;821361154-2;Demo Operaciones del Caribe SAS;B;Bogotá D.C.;Bogotá D.C.;Avenida 33 #91-19, Apto 498, Barrio Las Palmas;1;"Abuelos; Pareja; Hijos";Arriendo;Urbano;Casado;Mujer;No
AF-000046;Iván Felipe Bustos Ospina;26;$5.758.000;3;821361154-2;Demo Operaciones del Caribe SAS;B;Bogotá D.C.;Bogotá D.C.;Carrera 58 #119-21, Barrio El Bosque;0;Padres;Propia;Urbano;Soltero;Hombre;No
AF-000047;Sebastián Cortés Ortiz;25;$4.899.000;7;952582906-8;Demo Construcciones Nova SAS;B;Córdoba;Montería;Transversal 170 #106-69, Barrio El Bosque;1;Padres;Arriendo;Urbano;Soltero;Hombre;Sí
AF-000048;Esteban Javier Caicedo Vargas;26;$6.023.000;7;952582906-8;Demo Construcciones Nova SAS;B;Cundinamarca;Fusagasugá;Avenida 27 #69-42, Barrio El Porvenir;0;"Padres; Pareja";Arriendo;Urbano;Unión Libre;Hombre;Sí
AF-000049;Andrés Ospina Torres;52;$3.308.000;5;869105379-0;Demo Distribuciones Altamira Ltda.;A;Valle del Cauca;Cali;Transversal 114 #67-89, Apto 398, Barrio El Bosque;1;Hijos;Arriendo;Urbano;Separado;Hombre;No
AF-000050;Santiago Herrera Álvarez;30;$5.341.000;1;912308943-2;Demo Gestión Humana Avanza S.A.;B;Antioquia;Medellín;Transversal 122 #85-97, Barrio El Prado;2;"Pareja; Hijos";Arriendo;Urbano;Unión Libre;Hombre;No
AF-000051;Santiago Álvaro Arias Hernández;37;$1.853.000;4;907432753-1;Demo Alimentos del Centro Ltda.;A;Santander;Barrancabermeja;Carrera 85 #8-61, Barrio El Bosque;2;"Pareja; Hijos";Arriendo;Urbano;Casado;Hombre;Sí
AF-000052;Nicolás Bermúdez Mendoza;39;$2.062.000;1;959637409-2;Demo Logística Andina SAS;A;Antioquia;Medellín;Carrera 65 #93-15, Apto 786, Barrio La Campiña;0;Pareja;Propia;Urbano;Casado;Hombre;Sí
AF-000053;Brayan Wilson Ospina Álvarez;26;$2.171.000;3;874329077-1;Demo Distribuciones Altamira Ltda.;A;Valle del Cauca;Buenaventura;Diagonal 96 #97-73, Apto 376, Barrio Nueva Colombia;0;Padres;Propia;Urbano;Soltero;Hombre;No
AF-000054;Felipe Brayan Ramírez Montoya;22;$4.885.000;1;814377706-2;Demo Alimentos del Centro Ltda.;B;Cundinamarca;Soacha;Calle 6 #45-81, Apto 433, Barrio El Recreo;0;Pareja;Arriendo;Urbano;Soltero;Hombre;Sí
AF-000055;Karen Suárez Pineda;24;$4.647.000;3;895561561-4;Demo Soluciones Documentales S.A.;B;Cundinamarca;Soacha;Transversal 52 #11-85, Apto 514, Barrio Centro;0;Padres;Familiar;Urbano;Soltero;Mujer;No
AF-000056;Tomás Ortiz Cifuentes;26;$5.595.000;4;982310027-1;Demo Redes y Conectividad S.A.;B;Bolívar;Cartagena;Carrera 1 #77-27, Apto 874, Barrio La Castellana;0;Padres;Arriendo;Urbano;Soltero;Hombre;No
AF-000057;Germán Alexander Cárdenas Martínez;45;$2.631.000;5;875123122-3;Demo Gestión Humana Avanza S.A.;A;Bogotá D.C.;Bogotá D.C.;Avenida 100 #90-77, Barrio La Castellana;3;"Pareja; Hijos";Propia;Urbano;Unión Libre;Hombre;Sí
AF-000058;Nicolás Edwin Acosta Valencia;32;$5.807.000;0;971027486-6;Demo Mantenimiento Estratégico S.A.;B;Meta;Villavicencio;Calle 173 #85-52, Barrio Las Palmas;1;"Pareja; Hijos";Arriendo;Urbano;Casado;Hombre;Sí
AF-000059;Mónica Martínez Navarro;40;$2.739.000;1;874329077-1;Demo Distribuciones Altamira Ltda.;A;Valle del Cauca;Cali;Transversal 175 #86-98, Apto 145, Barrio Los Alpes;2;Hijos;Familiar;Urbano;Casado;Mujer;No
AF-000060;Valentina Sánchez Cardona;54;$2.110.000;9;971027486-6;Demo Mantenimiento Estratégico S.A.;A;Antioquia;Medellín;Diagonal 143 #97-21, Barrio Centro;2;Hijos;Arriendo;Urbano;Soltero;Mujer;Sí
AF-000061;Alexander Caicedo León;55;$2.753.000;0;822917527-8;Demo Operaciones Urbanas SAS;A;Valle del Cauca;Buenaventura;Calle 168 #7-10, Barrio San José;3;"Pareja; Hijos";Familiar;Urbano;Casado;Hombre;Sí
AF-000062;Miguel Medina Quintero;47;$2.672.000;4;910092002-1;Demo Comercial del Norte S.A.S.;A;Antioquia;Rionegro;Carrera 119 #93-38, Barrio La Campiña;2;Hijos;Arriendo;Urbano;Separado;Hombre;No
AF-000063;Sara Ramírez Cortés;37;$2.433.000;14;977165882-2;Demo Ingeniería Integral S.A.S.;A;Huila;Neiva;Diagonal 119 #22-29, Barrio Los Pinos;0;Padres;Propia;Urbano;Soltero;Mujer;Sí
AF-000064;Patricia Laura Castro Cárdenas;26;$6.342.000;1;818143241-1;Demo Tecnología Prisma S.A.;B;Bogotá D.C.;Bogotá D.C.;Transversal 1 #117-7, Barrio La Floresta;1;"Padres; Pareja; Hijos";Familiar;Urbano;Soltero;Mujer;Sí
AF-000065;Paula Diana Jiménez Vélez;34;$4.587.000;1;873953887-2;Demo Textiles Cordillera Ltda.;B;Cesar;Aguachica;Diagonal 105 #81-87, Barrio Villa Nueva;0;Padres;Propia;Urbano;Soltero;Mujer;No
AF-000066;Alexander Ramírez Ospina;42;$9.612.000;17;806247297-5;Demo Infraestructura Nacional Ltda.;C;Antioquia;Bello;Transversal 134 #69-28, Barrio Nueva Colombia;0;Pareja;Propia;Urbano;Casado;Hombre;No
AF-000067;Samuel Cifuentes Díaz;33;$2.147.000;3;907599250-6;Demo Servicios Horizonte S.A.S.;A;Bogotá D.C.;Bogotá D.C.;Avenida 63 #30-86, Barrio Villa Nueva;1;"Pareja; Hijos";Arriendo;Urbano;Unión Libre;Hombre;No
AF-000068;Sandra Vélez Montoya;45;$4.473.000;5;811888430-7;Demo Operaciones Urbanas SAS;B;Bogotá D.C.;Bogotá D.C.;Vereda Buenavista, Finca El Recuerdo, km 13;2;"Pareja; Hijos";Propia;Rural;Casado;Mujer;Sí
AF-000069;Nicolás Cárdenas Cabrera;36;$2.028.000;4;899808500-2;Demo Consultoría Ápice S.A.S.;A;Cundinamarca;Chía;Calle 164 #100-96, Apto 186, Barrio Los Pinos;1;Hijos;Familiar;Urbano;Separado;Hombre;No
AF-000070;Alexander Nicolás Vélez Ramírez;28;$2.424.000;4;896976150-6;Demo Soluciones de Movilidad Ltda.;A;Cundinamarca;Soacha;Vereda El Carmen, Finca El Recuerdo, km 13;1;"Padres; Hijos";Arriendo;Rural;Soltero;Hombre;Sí
AF-000071;Mónica Ana Ramírez Arias;43;$5.995.000;10;896976150-6;Demo Soluciones de Movilidad Ltda.;B;Antioquia;Rionegro;Avenida 147 #101-15, Barrio La Victoria;1;Hijos;Familiar;Urbano;Separado;Mujer;No
AF-000072;Daniel Montoya Cifuentes;46;$10.342.000;5;907599250-6;Demo Servicios Horizonte S.A.S.;C;Cundinamarca;Soacha;Avenida 136 #101-56, Barrio El Prado;1;"Pareja; Hijos";Familiar;Urbano;Unión Libre;Hombre;No
AF-000073;Ana Castaño Rojas;27;$2.129.000;9;940045828-5;Demo Soluciones Verdes S.A.S.;A;Valle del Cauca;Palmira;Vereda La Florida, Finca La Fortuna, km 16;3;"Pareja; Hijos";Arriendo;Rural;Unión Libre;Mujer;Sí
AF-000074;Viviana Rosa Navarro Pineda;46;$2.878.000;2;947019021-4;Demo Logística Andina SAS;A;Bolívar;Cartagena;Calle 58 #19-96, Barrio San Martín;2;Pareja;Propia;Urbano;Unión Libre;Mujer;Sí
AF-000075;Viviana Yolanda Salazar Ortiz;56;$4.030.000;8;862506547-7;Demo Servicios Horizonte S.A.S.;B;Bogotá D.C.;Bogotá D.C.;Carrera 61 #68-27, Barrio La Castellana;0;Abuelos;Arriendo;Urbano;Separado;Mujer;No
AF-000076;Gabriela Restrepo Castro;35;$4.904.000;13;898393079-5;Demo Ingeniería Integral S.A.S.;B;Antioquia;Medellín;Transversal 25 #15-82, Barrio Santa Ana;3;"Abuelos; Hijos";Arriendo;Urbano;Separado;Mujer;Sí
AF-000077;Esteban Moreno Navarro;33;$2.080.000;0;901849434-6;Demo Servicios Financieros Demo S.A.S.;A;Risaralda;Pereira;Avenida 73 #76-20, Barrio Nueva Colombia;0;Padres;Arriendo;Urbano;Separado;Hombre;No
AF-000078;Tomás Parra Parra;43;$1.981.000;12;814185903-2;Demo Soluciones Verdes S.A.S.;A;Bogotá D.C.;Bogotá D.C.;Diagonal 104 #8-26, Barrio El Porvenir;0;Pareja;Familiar;Urbano;Soltero;Hombre;No
AF-000079;Tomás Molina Moreno;44;$2.249.000;1;819228621-5;Demo Seguridad y Control S.A.S.;A;Bogotá D.C.;Bogotá D.C.;Diagonal 45 #35-88, Barrio El Prado;2;Hijos;Propia;Urbano;Viudo;Hombre;Sí
AF-000080;Adriana Montoya Castaño;46;$2.579.000;6;830923505-1;Demo Manufacturas Capital Ltda.;A;Bogotá D.C.;Bogotá D.C.;Carrera 135 #94-51, Apto 917, Barrio La Campiña;3;"Pareja; Hijos";Arriendo;Urbano;Casado;Mujer;Sí
AF-000081;Lorena Pardo Jiménez;50;$5.499.000;4;984983314-5;Demo Operaciones Urbanas SAS;B;Cesar;Valledupar;Diagonal 25 #45-77, Barrio El Bosque;2;Hijos;Propia;Urbano;Separado;Mujer;Sí
AF-000082;Adriana Juliana Martínez León;57;$2.897.000;1;982537560-1;Demo Industrias del Sur S.A.;A;Cauca;Popayán;Calle 172 #9-76, Barrio La Victoria;1;Hijos;Arriendo;Urbano;Soltero;Mujer;No
AF-000083;Patricia Romero Cárdenas;21;$2.747.000;3;898393079-5;Demo Ingeniería Integral S.A.S.;A;Meta;Villavicencio;Avenida 121 #117-7, Apto 1524, Barrio Los Alpes;0;Padres;Arriendo;Urbano;Soltero;Mujer;Sí
AF-000084;Isabella Pérez León;35;$7.541.000;8;907432753-1;Demo Alimentos del Centro Ltda.;C;Valle del Cauca;Cali;Diagonal 6 #89-19, Barrio San José;2;"Pareja; Hijos";Arriendo;Urbano;Casado;Mujer;Sí
AF-000085;Miguel Montoya Rojas;35;$2.519.000;1;818143241-1;Demo Tecnología Prisma S.A.;A;Nariño;Pasto;Diagonal 150 #120-6, Barrio Centro;3;"Pareja; Hijos";Propia;Urbano;Casado;Hombre;Sí
AF-000086;Cristian Fernando Sánchez Molina;29;$11.183.000;6;947019021-4;Demo Logística Andina SAS;C;Bogotá D.C.;Bogotá D.C.;Diagonal 91 #15-39, Apto 643, Barrio Nueva Colombia;2;"Padres; Pareja; Hijos";Familiar;Urbano;Unión Libre;Hombre;Sí
AF-000087;Viviana Bermúdez Montoya;28;$2.360.000;4;847968494-2;Demo Infraestructura Nacional Ltda.;A;Bolívar;Magangué;Vereda Las Delicias, Finca El Recuerdo, km 7;1;Padres;Familiar;Rural;Soltero;Mujer;Sí
AF-000088;David Andrés González Cifuentes;54;$2.189.000;3;806247297-5;Demo Infraestructura Nacional Ltda.;A;Bogotá D.C.;Bogotá D.C.;Carrera 115 #41-27, Apto 899, Barrio La Victoria;2;Padres;Arriendo;Urbano;Separado;Hombre;Sí
AF-000089;Andrea Lorena Pérez Cortés;50;$3.018.000;6;927195966-9;Demo Consultoría Ápice S.A.S.;A;Bogotá D.C.;Bogotá D.C.;Diagonal 35 #7-35, Barrio La Floresta;1;"Pareja; Hijos";Familiar;Urbano;Casado;Mujer;No
AF-000090;Carlos Parra Castaño;34;$2.689.000;2;896976150-6;Demo Soluciones de Movilidad Ltda.;A;Bogotá D.C.;Bogotá D.C.;Diagonal 68 #19-13, Apto 1635, Barrio La Castellana;0;"Abuelos; Pareja";Arriendo;Urbano;Soltero;Hombre;Sí
AF-000091;Isabella López Caicedo;32;$2.521.000;3;814185903-2;Demo Soluciones Verdes S.A.S.;A;Bogotá D.C.;Bogotá D.C.;Avenida 132 #56-78, Barrio Centro;0;Padres;Familiar;Urbano;Separado;Mujer;No
AF-000092;Gloria Arias Castro;28;$3.177.000;4;907599250-6;Demo Servicios Horizonte S.A.S.;A;Atlántico;Soledad;Calle 94 #56-41, Barrio El Prado;1;"Padres; Hijos";Arriendo;Urbano;Soltero;Mujer;Sí
AF-000093;Brayan Moreno Cifuentes;30;$2.759.000;3;947019021-4;Demo Logística Andina SAS;A;Cundinamarca;Zipaquirá;Transversal 4 #117-37, Apto 253, Barrio Los Alpes;3;"Pareja; Hijos";Arriendo;Urbano;Casado;Hombre;No
AF-000094;Ricardo Castro Pineda;26;$2.696.000;0;879567106-5;Demo Gestión Humana Avanza S.A.;A;Boyacá;Duitama;Diagonal 95 #32-62, Barrio El Prado;1;"Padres; Pareja; Hijos";Arriendo;Urbano;Casado;Hombre;Sí
AF-000095;Luisa Johanna Torres Álvarez;20;$2.165.000;2;830923505-1;Demo Manufacturas Capital Ltda.;A;Santander;Bucaramanga;Diagonal 26 #91-93, Apto 719, Barrio La Arboleda;1;"Padres; Hijos";Propia;Urbano;Soltero;Mujer;Sí
AF-000096;Juliana Herrera Muñoz;38;$5.869.000;2;912308943-2;Demo Gestión Humana Avanza S.A.;B;Cesar;Valledupar;Calle 142 #61-96, Apto 832, Barrio El Prado;3;"Pareja; Hijos";Familiar;Urbano;Soltero;Mujer;Sí
AF-000097;Óscar Mateo Jiménez Castaño;37;$3.075.000;4;896976150-6;Demo Soluciones de Movilidad Ltda.;A;Valle del Cauca;Cali;Vereda El Triunfo, Finca La Fortuna, km 6;0;Padres;Familiar;Rural;Soltero;Hombre;Sí
AF-000098;Camila Caicedo Torres;58;$6.044.000;1;947019021-4;Demo Logística Andina SAS;B;Magdalena;Santa Marta;Carrera 159 #27-57, Apto 1435, Barrio La Floresta;2;Hijos;Propia;Urbano;Separado;Mujer;Sí
AF-000099;Jhon Nicolás Álvarez Rodríguez;37;$2.804.000;3;830923505-1;Demo Manufacturas Capital Ltda.;A;Valle del Cauca;Cali;Transversal 118 #7-72, Barrio San Martín;0;Padres;Arriendo;Urbano;Soltero;Hombre;Sí
AF-000100;Claudia Cabrera Pineda;26;$2.438.000;8;902005924-5;Demo Gestión Ambiental SAS;A;Santander;Bucaramanga;Calle 93 #59-14, Apto 1664, Barrio Centro;0;"Padres; Pareja";Propia;Urbano;Soltero;Mujer;Sí
AF-000101;Javier García García;44;$5.774.000;6;955275268-1;Demo Transporte Metropolitano Ltda.;B;Cesar;Valledupar;Vereda El Carmen, Finca Buenavista, km 17;2;Pareja;Propia;Rural;Casado;Hombre;Sí
AF-000102;Ana Navarro García;39;$6.731.000;1;952582906-8;Demo Construcciones Nova SAS;B;Antioquia;Medellín;Diagonal 167 #96-18, Barrio Los Pinos;2;"Abuelos; Pareja";Propia;Urbano;Viudo;Mujer;No
AF-000103;Laura Torres Cifuentes;35;$3.870.000;17;865588295-8;Demo Comercializadora Pacífico S.A.;B;Magdalena;Santa Marta;Diagonal 94 #109-72, Barrio Las Palmas;2;"Padres; Hijos";Familiar;Urbano;Separado;Mujer;No
AF-000104;Cristian Pérez Torres;54;$4.627.000;1;947019021-4;Demo Logística Andina SAS;B;Valle del Cauca;Palmira;Transversal 64 #40-21, Apto 512, Barrio Los Pinos;1;"Pareja; Hijos";Arriendo;Urbano;Casado;Hombre;Sí
AF-000105;Alex Ariel Bustos Rojas;26;$4.406.000;1;921244871-7;Demo Redes y Conectividad S.A.;B;Santander;Bucaramanga;Avenida 16 #17-47, Barrio La Arboleda;3;"Pareja; Hijos";Propia;Urbano;Unión Libre;No especifica;Sí
AF-000106;Paola Díaz Quintero;44;$2.597.000;9;836239924-0;Demo Salud Integral Colombia SAS;A;Huila;Neiva;Avenida 133 #57-72, Apto 821, Barrio San Martín;0;"Padres; Pareja";Familiar;Urbano;Casado;Mujer;Sí
